netName,util,cp,bboxArea,bboxAr,numPins,numVias
{text_out[99]},60,1600,0.000,0.000,2,0
{text_out[98]},60,1600,0.000,0.000,2,0
{text_out[97]},60,1600,0.000,0.000,2,0
{text_out[96]},60,1600,0.000,0.000,2,0
{text_out[95]},60,1600,0.000,0.000,2,0
{text_out[94]},60,1600,0.000,0.000,2,0
{text_out[93]},60,1600,0.000,0.000,2,0
{text_out[92]},60,1600,0.000,0.000,2,0
{text_out[91]},60,1600,0.000,0.000,2,0
{text_out[90]},60,1600,0.000,0.000,2,0
{text_out[89]},60,1600,0.000,0.000,2,0
{text_out[88]},60,1600,0.000,0.000,2,0
{text_out[87]},60,1600,0.000,0.000,2,0
{text_out[86]},60,1600,0.000,0.000,2,0
{text_out[85]},60,1600,0.000,0.000,2,0
{text_out[84]},60,1600,0.000,0.000,2,0
{text_out[83]},60,1600,0.000,0.000,2,0
{text_out[82]},60,1600,0.000,0.000,2,0
{text_out[81]},60,1600,0.000,0.000,2,0
{text_out[80]},60,1600,0.000,0.000,2,0
{text_out[79]},60,1600,0.000,0.000,2,0
{text_out[78]},60,1600,0.000,0.000,2,0
{text_out[77]},60,1600,0.000,0.000,2,0
{text_out[76]},60,1600,0.000,0.000,2,0
{text_out[75]},60,1600,0.000,0.000,2,0
{text_out[74]},60,1600,0.000,0.000,2,0
{text_out[73]},60,1600,0.000,0.000,2,0
{text_out[72]},60,1600,0.000,0.000,2,0
{text_out[71]},60,1600,0.000,0.000,2,0
{text_out[70]},60,1600,0.000,0.000,2,0
{text_out[69]},60,1600,0.000,0.000,2,0
{text_out[68]},60,1600,0.000,0.000,2,0
{text_out[67]},60,1600,0.000,0.000,2,0
{text_out[66]},60,1600,0.000,0.000,2,0
{text_out[65]},60,1600,0.000,0.000,2,0
{text_out[64]},60,1600,0.000,0.000,2,0
{text_out[63]},60,1600,0.000,0.000,2,0
{text_out[62]},60,1600,0.000,0.000,2,0
{text_out[61]},60,1600,0.000,0.000,2,0
{text_out[60]},60,1600,0.000,0.000,2,0
{text_out[59]},60,1600,0.000,0.000,2,0
{text_out[58]},60,1600,0.000,0.000,2,0
{text_out[57]},60,1600,0.000,0.000,2,0
{text_out[56]},60,1600,0.000,0.000,2,0
{text_out[55]},60,1600,0.000,0.000,2,0
{text_out[54]},60,1600,0.000,0.000,2,0
{text_out[53]},60,1600,0.000,0.000,2,0
{text_out[52]},60,1600,0.000,0.000,2,0
{text_out[51]},60,1600,0.000,0.000,2,0
{text_out[50]},60,1600,0.000,0.000,2,0
{text_out[49]},60,1600,0.000,0.000,2,0
{text_out[48]},60,1600,0.000,0.000,2,0
{text_out[47]},60,1600,0.000,0.000,2,0
{text_out[46]},60,1600,0.000,0.000,2,0
{text_out[45]},60,1600,0.000,0.000,2,0
{text_out[44]},60,1600,0.000,0.000,2,0
{text_out[43]},60,1600,0.000,0.000,2,0
{text_out[42]},60,1600,0.000,0.000,2,0
{text_out[41]},60,1600,0.000,0.000,2,0
{text_out[40]},60,1600,0.000,0.000,2,0
{text_out[39]},60,1600,0.000,0.000,2,0
{text_out[38]},60,1600,0.000,0.000,2,0
{text_out[37]},60,1600,0.000,0.000,2,0
